gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
658530288	10e44c48-0839-4a20-86d5-f0e23ae2e366	658530288	Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Scaptotrigona	Scaptotrigona xanthotricha		SPECIES	Scaptotrigona xanthotricha Moure, 1950	Scaptotrigona xanthotricha	Moure 1950	CO	Los Micos	Meta	PRESENT		1e26a630-7203-11dc-a0d8-b8a03c50a862	3.3212	-73.9076							1956-03		3	1956	1345667	1345667	PRESERVED_SPECIMEN	USDA-ARS	BBSL	BBSL812338		J.S. Moure 1968		CC_BY_4_0		K. vonSneidern			2025-11-24T13:08:16.387Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
658530287	10e44c48-0839-4a20-86d5-f0e23ae2e366	658530287	Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Scaptotrigona	Scaptotrigona xanthotricha		SPECIES	Scaptotrigona xanthotricha Moure, 1950	Scaptotrigona xanthotricha	Moure 1950	CO	Los Micos	Meta	PRESENT		1e26a630-7203-11dc-a0d8-b8a03c50a862	3.3212	-73.9076							1956-03		3	1956	1345667	1345667	PRESERVED_SPECIMEN	USDA-ARS	BBSL	BBSL812339		J.S. Moure 1968		CC_BY_4_0		K. vonSneidern			2025-11-24T13:08:16.366Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
658511469	10e44c48-0839-4a20-86d5-f0e23ae2e366	658511469	Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Scaptotrigona	Scaptotrigona limae		SPECIES	Scaptotrigona limae (Brèthes, 1920)	Scaptotrigona limae	(Brèthes 1920)	CO	Medellin	Antioquia	PRESENT		1e26a630-7203-11dc-a0d8-b8a03c50a862	6.2334	-75.5722							1971-10-02	2	10	1971	1345664	1345664	PRESERVED_SPECIMEN	USDA-ARS	BBSL	BBSL811941		J. Camargo 1987		CC_BY_4_0		G.E. Bohart			2025-11-24T13:08:16.229Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
658511468	10e44c48-0839-4a20-86d5-f0e23ae2e366	658511468	Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Scaptotrigona	Scaptotrigona limae		SPECIES	Scaptotrigona limae (Brèthes, 1920)	Scaptotrigona limae	(Brèthes 1920)	CO	Medellin	Antioquia	PRESENT		1e26a630-7203-11dc-a0d8-b8a03c50a862	6.2334	-75.5722							1971-10-02	2	10	1971	1345664	1345664	PRESERVED_SPECIMEN	USDA-ARS	BBSL	BBSL811940		J. Camargo 1987		CC_BY_4_0		G.E. Bohart			2025-11-24T13:08:16.223Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
658511467	10e44c48-0839-4a20-86d5-f0e23ae2e366	658511467	Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Scaptotrigona	Scaptotrigona limae		SPECIES	Scaptotrigona limae (Brèthes, 1920)	Scaptotrigona limae	(Brèthes 1920)	CO	Medellin	Antioquia	PRESENT		1e26a630-7203-11dc-a0d8-b8a03c50a862	6.2334	-75.5722							1971-10-02	2	10	1971	1345664	1345664	PRESERVED_SPECIMEN	USDA-ARS	BBSL	BBSL811939		J. Camargo 1987		CC_BY_4_0		G.E. Bohart			2025-11-24T13:08:16.196Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
658511466	10e44c48-0839-4a20-86d5-f0e23ae2e366	658511466	Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Scaptotrigona	Scaptotrigona limae		SPECIES	Scaptotrigona limae (Brèthes, 1920)	Scaptotrigona limae	(Brèthes 1920)	CO	Medellin	Antioquia	PRESENT		1e26a630-7203-11dc-a0d8-b8a03c50a862	6.2334	-75.5722							1971-10-02	2	10	1971	1345664	1345664	PRESERVED_SPECIMEN	USDA-ARS	BBSL	BBSL811938		J. Camargo 1987		CC_BY_4_0		G.E. Bohart			2025-11-24T13:08:16.203Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
658511465	10e44c48-0839-4a20-86d5-f0e23ae2e366	658511465	Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Scaptotrigona	Scaptotrigona limae		SPECIES	Scaptotrigona limae (Brèthes, 1920)	Scaptotrigona limae	(Brèthes 1920)	CO	Medellin	Antioquia	PRESENT		1e26a630-7203-11dc-a0d8-b8a03c50a862	6.2334	-75.5722							1971-10-02	2	10	1971	1345664	1345664	PRESERVED_SPECIMEN	USDA-ARS	BBSL	BBSL811937		J. Camargo 1987		CC_BY_4_0		G.E. Bohart			2025-11-24T13:08:16.196Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
658511464	10e44c48-0839-4a20-86d5-f0e23ae2e366	658511464	Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Scaptotrigona	Scaptotrigona limae		SPECIES	Scaptotrigona limae (Brèthes, 1920)	Scaptotrigona limae	(Brèthes 1920)	CO	Medellin	Antioquia	PRESENT		1e26a630-7203-11dc-a0d8-b8a03c50a862	6.2334	-75.5722							1971-10-02	2	10	1971	1345664	1345664	PRESERVED_SPECIMEN	USDA-ARS	BBSL	BBSL811936		J. Camargo 1987		CC_BY_4_0		G.E. Bohart			2025-11-24T13:08:16.226Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
658511463	10e44c48-0839-4a20-86d5-f0e23ae2e366	658511463	Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Scaptotrigona	Scaptotrigona limae		SPECIES	Scaptotrigona limae (Brèthes, 1920)	Scaptotrigona limae	(Brèthes 1920)	CO	Sopetrán	Antioquia	PRESENT		1e26a630-7203-11dc-a0d8-b8a03c50a862	6.521	-75.737							1971-09		9	1971	1345664	1345664	PRESERVED_SPECIMEN	USDA-ARS	BBSL	BBSL811935		J. Camargo 1987		CC_BY_4_0		A. Madrigal			2025-11-24T13:08:16.207Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
658511462	10e44c48-0839-4a20-86d5-f0e23ae2e366	658511462	Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Scaptotrigona	Scaptotrigona limae		SPECIES	Scaptotrigona limae (Brèthes, 1920)	Scaptotrigona limae	(Brèthes 1920)	CO	Sopetrán	Antioquia	PRESENT		1e26a630-7203-11dc-a0d8-b8a03c50a862	6.521	-75.737							1971-09		9	1971	1345664	1345664	PRESERVED_SPECIMEN	USDA-ARS	BBSL	BBSL811934		J. Camargo 1987		CC_BY_4_0		A. Madrigal			2025-11-24T13:08:16.203Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
